Species,Trait Type,p,h2,Q,m,means,mean increase,sd,Dunnett_Pvalue_adj
Maize,Two,2,0.1,0.3,0,0.183643619,0,0,0
Maize,Two,2,0.1,0.3,1,0.181409019,-0.0022346,0.008997164,0.264557123
Maize,Two,2,0.1,0.3,2,0.180927441,-0.002716179,0.005917773,0.116322585
Maize,Two,2,0.1,0.3,3,0.181315845,-0.002327774,0.006122102,0.228509636
Maize,Two,2,0.1,0.3,5,0.180732667,-0.002910952,0.005635783,0.079745177
Maize,Two,2,0.1,0.3,10,0.180749242,-0.002894377,0.00701844,0.082358492
Maize,Two,2,0.1,0.3,25,0.182526144,-0.001117476,0.004884508,0.867954396
Maize,Two,3,0.1,0.3,0,0.19487619,0,0,0
Maize,Two,3,0.1,0.3,1,0.157331939,-0.037544251,0.035334262,1.69E-12
Maize,Two,3,0.1,0.3,2,0.163192742,-0.031683448,0.034326793,6.10E-09
Maize,Two,3,0.1,0.3,3,0.164274364,-0.030601826,0.034601439,1.65E-08
Maize,Two,3,0.1,0.3,5,0.17839633,-0.01647986,0.022691133,0.006311738
Maize,Two,3,0.1,0.3,10,0.193980959,-0.000895231,0.013448963,0.999976091
Maize,Two,3,0.1,0.3,25,0.1943356,-0.00054059,0.010303886,0.9999988
Maize,Two,5,0.1,0.3,0,0.01138154,0,0,0
Maize,Two,5,0.1,0.3,1,0.010448564,-0.000932976,0.008706186,0.999061251
Maize,Two,5,0.1,0.3,2,0.00927628,-0.002105259,0.011432368,0.911238452
Maize,Two,5,0.1,0.3,3,0.009351239,-0.0020303,0.016510088,0.924570135
Maize,Two,5,0.1,0.3,5,0.009987508,-0.001394032,0.012741804,0.989225776
Maize,Two,5,0.1,0.3,10,0.011325179,-5.64E-05,0.01179048,1
Maize,Two,5,0.1,0.3,25,0.011119063,-0.000262476,0.01290824,0.999999825
Maize,Two,5,0.1,0.3,50,0.010416806,-0.000964734,0.012726907,0.998838645
Maize,Two,10,0.1,0.3,0,-0.075924978,0,0,0
Maize,Two,10,0.1,0.3,1,-0.083944268,-0.00801929,0.013298069,0.015024663
Maize,Two,10,0.1,0.3,2,-0.08452245,-0.008597471,0.013059399,0.007389866
Maize,Two,10,0.1,0.3,3,-0.081549884,-0.005624906,0.015034825,0.168255353
Maize,Two,10,0.1,0.3,5,-0.081189373,-0.005264395,0.015888868,0.223743887
Maize,Two,10,0.1,0.3,10,-0.078154791,-0.002229813,0.012136628,0.946367481
Maize,Two,10,0.1,0.3,25,-0.077852093,-0.001927115,0.01248308,0.975940929
Maize,Two,10,0.1,0.3,50,-0.078665376,-0.002740397,0.011540144,0.858014875
Maize,Two,10,0.1,0.3,100,-0.081439817,-0.005514838,0.016250599,0.18378357
Maize,Two,25,0.1,0.3,0,0.165301952,0,0,0
Maize,Two,25,0.1,0.3,1,0.158591734,-0.006710218,0.011760199,0.000999785
Maize,Two,25,0.1,0.3,2,0.158672747,-0.006629205,0.010301722,0.001246218
Maize,Two,25,0.1,0.3,3,0.159218816,-0.006083136,0.008995121,0.003877608
Maize,Two,25,0.1,0.3,5,0.161008725,-0.004293227,0.010368234,0.086778927
Maize,Two,25,0.1,0.3,10,0.161532938,-0.003769014,0.008437767,0.174257831
Maize,Two,25,0.1,0.3,25,0.162725341,-0.002576611,0.006842782,0.578557966
Maize,Two,25,0.1,0.3,50,0.16317632,-0.002125632,0.007748557,0.773391143
Maize,Two,25,0.1,0.3,100,0.162578522,-0.00272343,0.008836269,0.515109153
Maize,Two,25,0.1,0.3,250,0.165186182,-0.00011577,0.007664909,1
Maize,Two,100,0.1,0.3,0,0.195199436,0,0,0
Maize,Two,100,0.1,0.3,1,0.179173535,-0.016025901,0.020099248,0.271807148
Maize,Two,100,0.1,0.3,2,0.177232342,-0.017967094,0.024308393,0.169765954
Maize,Two,100,0.1,0.3,3,0.17393338,-0.021266056,0.021958497,0.06696944
Maize,Two,100,0.1,0.3,5,0.176965577,-0.018233859,0.019930605,0.158339962
Maize,Two,100,0.1,0.3,10,0.172287206,-0.02291223,0.022699617,0.039760024
Maize,Two,100,0.1,0.3,25,0.173952538,-0.021246898,0.023122393,0.067426099
Maize,Two,100,0.1,0.3,50,0.180406142,-0.014793294,0.021265576,0.355223122
Maize,Two,100,0.1,0.3,100,0.184467271,-0.010732165,0.019129759,0.708336686
Maize,Two,100,0.1,0.3,250,0.190183226,-0.00501621,0.015014148,0.995052896
Maize,Two,2,0.1,0.5,0,0.035744329,0,0,0
Maize,Two,2,0.1,0.5,1,0.017501373,-0.018242956,0.014308462,1.98E-12
Maize,Two,2,0.1,0.5,2,0.019595921,-0.016148408,0.01240327,1.98E-09
Maize,Two,2,0.1,0.5,3,0.021282417,-0.014461912,0.013224216,5.68E-08
Maize,Two,2,0.1,0.5,5,0.024996511,-0.010747818,0.015587601,0.000116939
Maize,Two,2,0.1,0.5,10,0.029512643,-0.006231686,0.013005964,0.057760137
Maize,Two,2,0.1,0.5,25,0.037674336,0.001930007,0.011000638,0.931129471
Maize,Two,3,0.1,0.5,0,0.255443727,0,0,0
Maize,Two,3,0.1,0.5,1,0.248094294,-0.007349433,0.01579818,0.005402645
Maize,Two,3,0.1,0.5,2,0.25031811,-0.005125617,0.011491354,0.096290969
Maize,Two,3,0.1,0.5,3,0.251943129,-0.003500597,0.01097676,0.411281328
Maize,Two,3,0.1,0.5,5,0.252562849,-0.002880877,0.011605674,0.608917138
Maize,Two,3,0.1,0.5,10,0.254047852,-0.001395875,0.010991906,0.973870963
Maize,Two,3,0.1,0.5,25,0.253073229,-0.002370497,0.009929332,0.775244754
Maize,Two,5,0.1,0.5,0,0.088300134,0,0,0
Maize,Two,5,0.1,0.5,1,0.085503207,-0.002796927,0.008250732,0.180781359
Maize,Two,5,0.1,0.5,2,0.084645438,-0.003654696,0.006723784,0.038202236
Maize,Two,5,0.1,0.5,3,0.085903582,-0.002396552,0.006620408,0.320808705
Maize,Two,5,0.1,0.5,5,0.08653933,-0.001760804,0.006681583,0.645047768
Maize,Two,5,0.1,0.5,10,0.087525289,-0.000774845,0.007458264,0.990684735
Maize,Two,5,0.1,0.5,25,0.087578999,-0.000721135,0.007498718,0.993873547
Maize,Two,5,0.1,0.5,50,0.088297893,-2.24E-06,0.006847173,1
Maize,Two,10,0.1,0.5,0,0.003504861,0,0,0
Maize,Two,10,0.1,0.5,1,-0.011508288,-0.015013149,0.02461669,8.10E-06
Maize,Two,10,0.1,0.5,2,-0.006817196,-0.010322057,0.020084108,0.005194047
Maize,Two,10,0.1,0.5,3,-0.005146971,-0.008651832,0.017250776,0.029406575
Maize,Two,10,0.1,0.5,5,-0.00218977,-0.005694631,0.014870951,0.293184965
Maize,Two,10,0.1,0.5,10,0.000871418,-0.002633443,0.015974961,0.942092127
Maize,Two,10,0.1,0.5,25,0.002582141,-0.000922721,0.00996364,0.999946688
Maize,Two,10,0.1,0.5,50,0.003876525,0.000371664,0.01097585,0.999999956
Maize,Two,10,0.1,0.5,100,0.00436464,0.000859779,0.007969997,0.999968823
Maize,Two,25,0.1,0.5,0,0.100989837,0,0,0
Maize,Two,25,0.1,0.5,1,0.073752,-0.027237836,0.020634103,0
Maize,Two,25,0.1,0.5,2,0.074427034,-0.026562802,0.020152801,0
Maize,Two,25,0.1,0.5,3,0.087340433,-0.013649404,0.018020789,1.75E-05
Maize,Two,25,0.1,0.5,5,0.09205909,-0.008930746,0.015418352,0.013668838
Maize,Two,25,0.1,0.5,10,0.092136133,-0.008853703,0.016006728,0.014893733
Maize,Two,25,0.1,0.5,25,0.094322157,-0.00666768,0.012764149,0.120885134
Maize,Two,25,0.1,0.5,50,0.097294683,-0.003695154,0.008621506,0.723173608
Maize,Two,25,0.1,0.5,100,0.097220381,-0.003769456,0.009185631,0.703836714
Maize,Two,25,0.1,0.5,250,0.097961617,-0.003028219,0.007146727,0.876277899
Maize,Two,100,0.1,0.5,0,-0.036703138,0,0,0
Maize,Two,100,0.1,0.5,1,-0.04577925,-0.009076112,0.027179477,0.909090562
Maize,Two,100,0.1,0.5,2,-0.05124856,-0.014545422,0.025289919,0.504141908
Maize,Two,100,0.1,0.5,3,-0.052023611,-0.015320473,0.024822874,0.444548085
Maize,Two,100,0.1,0.5,5,-0.043299665,-0.006596527,0.013856444,0.985440743
Maize,Two,100,0.1,0.5,10,-0.0404574,-0.003754261,0.025678602,0.999773498
Maize,Two,100,0.1,0.5,25,-0.043326169,-0.006623031,0.021329629,0.985058819
Maize,Two,100,0.1,0.5,50,-0.040005245,-0.003302107,0.023687642,0.999920674
Maize,Two,100,0.1,0.5,100,-0.03795262,-0.001249482,0.029930294,0.999999983
Maize,Two,100,0.1,0.5,250,-0.036791065,-8.79E-05,0.015278606,1
Maize,Two,2,0.1,0.9,0,-0.084168216,0,0,0
Maize,Two,2,0.1,0.9,1,-0.084750865,-0.000582649,0.016135717,0.999945577
Maize,Two,2,0.1,0.9,2,-0.081963382,0.002204835,0.015893578,0.933662491
Maize,Two,2,0.1,0.9,3,-0.082362085,0.001806131,0.018124089,0.973128526
Maize,Two,2,0.1,0.9,5,-0.082136306,0.002031911,0.014195475,0.953626064
Maize,Two,2,0.1,0.9,10,-0.081415652,0.002752565,0.012949044,0.841160428
Maize,Two,2,0.1,0.9,25,-0.083429114,0.000739103,0.014358855,0.999782924
Maize,Two,3,0.1,0.9,0,0.046127359,0,0,0
Maize,Two,3,0.1,0.9,1,0.004519584,-0.041607775,0.033186968,4.46E-11
Maize,Two,3,0.1,0.9,2,0.002400091,-0.043727267,0.035721219,4.06E-12
Maize,Two,3,0.1,0.9,3,0.002676064,-0.043451295,0.03341522,7.44E-12
Maize,Two,3,0.1,0.9,5,0.003590652,-0.042536706,0.033716976,1.14E-11
Maize,Two,3,0.1,0.9,10,0.012168658,-0.033958701,0.030729051,1.37E-07
Maize,Two,3,0.1,0.9,25,0.024417515,-0.021709843,0.025195231,0.001691824
Maize,Two,5,0.1,0.9,0,0.200976638,0,0,0
Maize,Two,5,0.1,0.9,1,0.190194498,-0.01078214,0.016289491,5.41E-10
Maize,Two,5,0.1,0.9,2,0.198598321,-0.002378317,0.009287885,0.542806597
Maize,Two,5,0.1,0.9,3,0.200656029,-0.000320609,0.005721088,0.999991568
Maize,Two,5,0.1,0.9,5,0.200279265,-0.000697373,0.005807271,0.998540047
Maize,Two,5,0.1,0.9,10,0.200243925,-0.000732713,0.005338451,0.998010552
